artist,country,genre,image_uri,uri,debut_album_year,track_name,song_uri,song_image_uri,group_size,gender
Cardi B,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb8c2332e6c0ed96d144a91b3f,spotify:artist:4kYSro6naA4h99UJvo89HB,2016,Tomorrow 2 (with Cardi B),https://p.scdn.co/mp3-preview/ccc847596cdba5c278c4b18385324c47c3a76393?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273b987e8ad764cfb7e18337322,1,f
Calvin Harris,uk,Electronic,https://i.scdn.co/image/ab6761610000e5eb37bff6aa1d42bede9048750f,spotify:artist:7CajNmpbOovFoOoasH2HaY,2007,One Kiss (with Dua Lipa),https://p.scdn.co/mp3-preview/128a50f77ec0225f05a2bd1664cab327bc66bc5f?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,1,m
21 Savage,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb35ca7d2181258b51c0f2cf9e,spotify:artist:1URnnhqYAYcrqrcwql10ft,2016,Creepin' (with The Weeknd & 21 Savage),https://p.scdn.co/mp3-preview/550c53ffe16455f6481961ac109974d9e1135d79?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,1,m
Nicky Jam,us,Latin,https://i.scdn.co/image/ab6761610000e5ebaa24479bca492755f52fc285,spotify:artist:1SupJlEpv7RS2tPNRaHViT,2014,X,https://p.scdn.co/mp3-preview/1b99aebea5e7171591e407139e1094fefb510574?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273072a21c666bf2f7b3fababef,1,m
Selena Gomez,us,Pop,https://i.scdn.co/image/ab6761610000e5eba5205abffd84341e5bace828,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,2013,Calm Down (with Selena Gomez),https://p.scdn.co/mp3-preview/c714a84d5cc3f8f302604068cd104b7af4c4b9d2?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf,1,f
Maluma,co,Latin,https://i.scdn.co/image/ab6761610000e5eb4588e958f69a086df6a9f81f,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,2012,Junio,https://p.scdn.co/mp3-preview/784f36c1fd3576770bf0287d0950fd52d4704733?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273e48e9ad3aa0c35abdacc4f83,1,m
Lady Gaga,us,Pop,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,spotify:artist:1HY2Jd0NmPuamShAr6KMms,2008,Bloody Mary,https://p.scdn.co/mp3-preview/4e098efa71b70d60bf8d6cda1d023542ad522a12?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8,1,f
Lil Baby,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb6cad3eff5adc29e20f189a6c,spotify:artist:5f7VJjfbwm532GiveGC0ZK,2017,Drip Too Hard (Lil Baby & Gunna),https://p.scdn.co/mp3-preview/9f6ec2c1bac0fc22e7ab41baf68d357e04c79a83?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c,1,m
J. Cole,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebadd503b411a712e277895c8a,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,2011,No Role Modelz,https://p.scdn.co/mp3-preview/f4193a62bb89ab3a642ec766123349d8382a7bfe?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,1,m
Sia,au,Pop,https://i.scdn.co/image/ab6761610000e5ebec40474426f4401a4203dc9f,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,2003,Snowman,https://p.scdn.co/mp3-preview/d2b686ec5e818ab56c7131a72a9d51aeccdb74ca?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d1410c1372fab1e516328fa8,1,f
Farruko,pr,Latin,https://i.scdn.co/image/ab6761610000e5ebd086033e9cb8291e7be185df,spotify:artist:329e4yvIujISKGKz1BZZbO,2010,Pepas,https://p.scdn.co/mp3-preview/e46f728ef2b8b46194fde96da9bb64b6fa0619db?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273f1bd89fe6542ac73b8555f73,1,m
Young Thug,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed,spotify:artist:50co4Is1HCEo8bhOyUWKpn,2011,Trance (with Travis Scott & Young Thug),https://p.scdn.co/mp3-preview/21a4f3798a42a6c0f157c2c4aebb10a339c2d61a?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,1,m
Anuel AA,pr,Latin,https://i.scdn.co/image/ab6761610000e5ebfea27ddf11b9df5322a13c84,spotify:artist:2R21vXR83lH98kGeO99Y66,2018,La Llevo Al Cielo (Ft. Ñengo Flow),https://p.scdn.co/mp3-preview/8c726106c3dbe9ff55a955e1d4cf7d1e0b2a5025?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27361667b3968ad3a61d0e114ba,1,m
The Beatles,uk,Rock,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,1963,Here Comes The Sun - Remastered 2009,https://p.scdn.co/mp3-preview/54cc460f2c430b83b018f540c8a8c33539c1c393?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,4,m
Beyonce,us,Pop,https://i.scdn.co/image/ab6761610000e5eb676338904deb80cffb568216,spotify:artist:6vWDO969PvNqNYHIOW5v0m,2003,CUFF IT,https://p.scdn.co/mp3-preview/9354ab4f5ccdb457cb4cdf07033d1a46c8bc9c84?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,1,f
Ty Dolla $ign,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebd9dde4a54073dbd58fb91c7d,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,2015,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",https://p.scdn.co/mp3-preview/237395d3105d02e812334338f2f79abb0fe94fe5?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2731c04efd2804b16cf689de7f0,1,m
